fold,n_layer,layer_size,features,f_engineer,normalize,acc
1,2,8,['length'],1,1,92.28070175438596
1,2,8,['length'],0,1,92.98245614035088
1,2,8,"['length', 'sd']",1,1,92.80701754385964
1,2,8,"['length', 'sd']",0,1,91.57894736842105
1,2,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,91.57894736842105
1,2,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,91.40350877192982
1,2,16,['length'],1,1,91.9298245614035
1,2,16,['length'],0,1,92.80701754385964
1,2,16,"['length', 'sd']",1,1,87.19298245614036
1,2,16,"['length', 'sd']",0,1,90.17543859649123
1,2,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,88.24561403508771
1,2,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,91.40350877192982
1,2,32,['length'],1,1,91.22807017543859
1,2,32,['length'],0,1,92.63157894736842
1,2,32,"['length', 'sd']",1,1,84.3859649122807
1,2,32,"['length', 'sd']",0,1,88.59649122807018
1,2,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,84.56140350877193
1,2,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,84.73684210526315
1,2,64,['length'],1,1,91.57894736842105
1,2,64,['length'],0,1,92.45614035087719
1,2,64,"['length', 'sd']",1,1,84.56140350877193
1,2,64,"['length', 'sd']",0,1,86.31578947368422
1,2,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,79.2982456140351
1,2,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,83.50877192982456
1,2,128,['length'],1,1,90.0
1,2,128,['length'],0,1,95.08771929824562
1,2,128,"['length', 'sd']",1,1,80.87719298245614
1,2,128,"['length', 'sd']",0,1,83.85964912280703
1,2,128,"['sd', 'range_value', 'length', 'sum_diff']",1,1,78.24561403508771
1,2,128,"['sd', 'range_value', 'length', 'sum_diff']",0,1,84.91228070175438
1,3,2,['length'],1,1,93.6842105263158
1,3,2,['length'],0,1,94.03508771929825
1,3,2,"['length', 'sd']",1,1,93.6842105263158
1,3,2,"['length', 'sd']",0,1,94.03508771929825
1,3,2,"['sd', 'range_value', 'length', 'sum_diff']",1,1,93.85964912280701
1,3,2,"['sd', 'range_value', 'length', 'sum_diff']",0,1,94.21052631578948
1,3,4,['length'],1,1,93.15789473684211
1,3,4,['length'],0,1,93.50877192982456
1,3,4,"['length', 'sd']",1,1,91.9298245614035
1,3,4,"['length', 'sd']",0,1,93.85964912280701
1,3,4,"['sd', 'range_value', 'length', 'sum_diff']",1,1,93.85964912280701
1,3,4,"['sd', 'range_value', 'length', 'sum_diff']",0,1,94.21052631578948
1,3,8,['length'],1,1,93.85964912280701
1,3,8,['length'],0,1,92.63157894736842
1,3,8,"['length', 'sd']",1,1,92.10526315789474
1,3,8,"['length', 'sd']",0,1,91.05263157894737
1,3,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,90.70175438596492
1,3,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,90.35087719298247
1,3,16,['length'],1,1,90.52631578947368
1,3,16,['length'],0,1,92.45614035087719
1,3,16,"['length', 'sd']",1,1,87.89473684210526
1,3,16,"['length', 'sd']",0,1,87.01754385964912
1,3,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,81.9298245614035
1,3,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,88.0701754385965
1,3,32,['length'],1,1,90.70175438596492
1,3,32,['length'],0,1,92.45614035087719
1,3,32,"['length', 'sd']",1,1,78.94736842105263
1,3,32,"['length', 'sd']",0,1,84.21052631578947
1,3,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,76.14035087719299
1,3,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,81.75438596491227
1,3,64,['length'],1,1,87.36842105263159
1,3,64,['length'],0,1,90.70175438596492
1,3,64,"['length', 'sd']",1,1,76.31578947368422
1,3,64,"['length', 'sd']",0,1,74.03508771929825
1,3,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,72.28070175438597
1,3,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,74.56140350877193
1,3,128,['length'],1,1,79.12280701754386
1,3,128,['length'],0,1,78.7719298245614
1,3,128,"['length', 'sd']",1,1,72.10526315789474
1,3,128,"['length', 'sd']",0,1,70.87719298245614
1,3,128,"['sd', 'range_value', 'length', 'sum_diff']",1,1,76.49122807017544
1,3,128,"['sd', 'range_value', 'length', 'sum_diff']",0,1,72.80701754385966
2,1,2,['length'],1,1,94.91228070175438
2,1,2,['length'],0,1,94.91228070175438
2,1,2,"['length', 'sd']",1,1,94.56140350877193
2,1,2,"['length', 'sd']",0,1,95.08771929824562
2,1,2,"['sd', 'range_value', 'length', 'sum_diff']",1,1,93.33333333333333
2,1,2,"['sd', 'range_value', 'length', 'sum_diff']",0,1,92.80701754385964
2,1,4,['length'],1,1,94.91228070175438
2,1,4,['length'],0,1,94.73684210526315
2,1,4,"['length', 'sd']",1,1,94.21052631578948
2,1,4,"['length', 'sd']",0,1,93.33333333333333
2,1,4,"['sd', 'range_value', 'length', 'sum_diff']",1,1,93.6842105263158
2,1,4,"['sd', 'range_value', 'length', 'sum_diff']",0,1,92.10526315789474
2,1,8,['length'],1,1,95.08771929824562
2,1,8,['length'],0,1,94.56140350877193
2,1,8,"['length', 'sd']",1,1,95.85964912280701
2,1,8,"['length', 'sd']",0,1,95.26315789473684
2,1,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,89.29824561403508
2,1,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,91.75438596491227
2,1,16,['length'],1,1,94.21052631578948
2,1,16,['length'],0,1,95.08771929824562
2,1,16,"['length', 'sd']",1,1,93.50877192982456
2,1,16,"['length', 'sd']",0,1,91.75438596491227
2,1,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,96.36842105263159
2,1,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,91.9298245614035
2,1,32,['length'],1,1,94.91228070175438
2,1,32,['length'],0,1,94.73684210526315
2,1,32,"['length', 'sd']",1,1,91.75438596491227
2,1,32,"['length', 'sd']",0,1,91.75438596491227
2,1,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,88.94736842105263
2,1,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,90.0
2,1,64,['length'],1,1,94.56140350877193
2,1,64,['length'],0,1,94.38596491228071
2,1,64,"['length', 'sd']",1,1,91.57894736842105
2,1,64,"['length', 'sd']",0,1,89.82456140350877
2,1,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,89.47368421052632
2,1,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,89.64912280701755
2,1,128,['length'],1,1,94.38596491228071
2,1,128,['length'],0,1,94.73684210526315
2,1,128,"['length', 'sd']",1,1,93.15789473684211
2,1,128,"['length', 'sd']",0,1,90.0
